Produto,Laboratorio
KEYTRUDA,MERCK SHARP DOHME
WEGOVY,NOVO NORDISK
OZEMPIC,NOVO NORDISK
FORXIGA,ASTRAZENECA BRASIL
ENHERTU,DAIICHI SANKYO
OPDIVO,BRISTOL M. SQUIBB
STELARA,JANSSEN CILAG
DUPIXENT,GENZYME
GLIFAGE XR,MERCK
ENTYVIO,TAKEDA PHARMA
DALINVI,JANSSEN CILAG
TIVICAY,GSK
PERJETA,ROCHE
SOLIRIS,ASTRAZENECA BRASIL
VERZENIOS,LILLY
DORFLEX,SANOFI CHC
HEMCIBRA,ROCHE
RYBELSUS,NOVO NORDISK
TRIKAFTA,VERTEX PHARMA
ALENIA,ACHE
EVRYSDI,ROCHE
TAGRISSO,ASTRAZENECA BRASIL
XOLAIR,NOVARTIS
SIMPONI,JANSSEN CILAG
DYSPORT ESTETICA,GALDERMA
IDACIO,FRESENIUS KABI
OCREVUS,ROCHE
NOVOLIN N,NOVO NORDISK
IMMUNATE S/D,TAKEDA PHARMA
PROLOPA,FQM GRUPO
SANDOGLOBULINA PRI,CSL BEHRING
VENVANSE,TAKEDA PHARMA
IMBRUVICA,JANSSEN CILAG
REVOLADE,NOVARTIS
KISQALI,NOVARTIS
COSENTYX,NOVARTIS
ENTRESTO,NOVARTIS
JARDIANCE,BOEHRINGER ING
SOL FISIOLOGICA,FRESENIUS KABI
PURAN T-4,SANOFI
SKYRIZI,ABBVIE
IMFINZI,ASTRAZENECA BRASIL
NINHO FASES 1+,NESTLE
ADVATE,TAKEDA PHARMA
TRANSLARNA,PTC FARMACEUT BRA
XIGDUO XR,ASTRAZENECA BRASIL
QDENGA,TAKEDA PHARMA
VENCLEXTA,ABBVIE
MENVEO,GSK
TORGENA,PFIZER
SPINRAZA,BIOGEN
SELOZOK,ASTRAZENECA BRASIL
REPLAGAL,TAKEDA PHARMA
BIO-MANG TRASTUZUM,FUNDA OSWALDO CRUZ
OMNIPAQUE,GE HEALTHCARE
GLYXAMBI,BOEHRINGER ING
AMBISOME,KNIGHTTX
SYNFLORIX,GSK
XTANDI,ASTELLAS
CIMZIA,UCB BIOPHARMA
GARDASIL,MERCK SHARP DOHME
NUTREN SENIOR,NESTLE
ALFAEPOETINA,BLAU FARMACEUTICA
TORSILAX,NEO QUIMICA
TREMFYA,JANSSEN CILAG
MIRENA,BAYER PHARMA
DEXILANT,TAKEDA PHARMA
NOVALGINA,SANOFI CHC
ANTHELIOS,LA ROCHE POSAY
REMICADE,JANSSEN CILAG
ACCU-CHEK ACTIVE,ROCHE
CLOR.METFORMINA MG,PRATI DONADUZZI
EXPEC,LEGRAND
SAL DE ENO,HALEON
JAKAVI,NOVARTIS
LYNPARZA,ASTRAZENECA BRASIL
REVLIMID,BRISTOL M. SQUIBB
SYNAGIS,ASTRAZENECA BRASIL
EYLIA,BAYER PHARMA
BEXSERO,GSK
REFORTRIX,GSK
TYSABRI,BIOGEN
NEOSALDINA,HYPERA AQ T
BUSCOPAN COMPOSTO,HYPERA AQ
TECENTRIQ,ROCHE
CIMEGRIPE,CIMED
DOVATO,GSK
DIPIRONA SODICA MG,PRATI DONADUZZI
KADCYLA,ROCHE
ZOLGENSMA,NOVARTIS
EDISTRIDE,ACHE
SANDOSTATIN LAR,NOVARTIS
SAXENDA,NOVO NORDISK
HYRIMOZ,SANDOZ
MOUNJARO,LILLY
CERAVE,CERAVE
INZELM,TAKEDA PHARMA
PROLIA,AMGEN
TREZETE,ACHE
ENBREL,PFIZER
VAQTA,MERCK SHARP DOHME
DRAMIN B6,HYPERA AQ T
DOZEMAST,MARJAN
ADCETRIS,TAKEDA PHARMA
TADALAFILA MG,EUROFARMA
ALLEGRA,SANOFI CHC
LIBTAYO,ADIUM
VELIJA,LIBBS
BENEGRIP,HYPERA CH
CALQUENCE,ASTRAZENECA BRASIL
CABOMETYX,BEAUFOR IPSEN LTDA
ZOLADEX LA,ASTRAZENECA BRASIL
SHINGRIX,GSK
PRINCIPIA SKINCARE,PRINCIPIA SKIN
ELOVIE,LIBBS
EUTHYROX,MERCK
AMOXI+CLAVU.POT.MG,EMS PHARMA
AVASTIN,ROCHE
NEOSORO AD,NEO QUIMICA
AVAMYS,GSK
MAXALGINA,NATULAB
SOL FISIOLOGICA,HALEXISTAR
VICK VAPORUB,P&G HEALTHCARE
ACTEMRA,ROCHE
DPREV,MYRALIS
DECONGEX PLUS NF,ACHE
ELAPRASE,TAKEDA PHARMA
APTAMIL 2,DANONE BABY NUTRIT
XILFYA,PFIZER
CLEXANE,SANOFI
NINHO LEITE,NESTLE
PREZISTA,JANSSEN CILAG
GENOTROPIN,PFIZER
STREPSILS,RECKITT BENCKISER
SCULPTRA,GALDERMA
ARADOIS,BIOLAB-SANUS FARMA
NUCALA,GSK
APTANUTRI PREMIU 3,DANONE BABY NUTRIT
NEUTROGENA SUN FR,KENVUE
NAN COMFOR 1,NESTLE
ERLEADA,JANSSEN CILAG
TALTZ,LILLY
ADDERA D3,MANTECORP FARMASA
APTAMIL 1,DANONE BABY NUTRIT
BUSONID NASAL,ACHE
CETAPHIL CORE,GALDERMA
RADIESSE DUO,MERZ
LUFTAL,RECKITT BENCKISER
ACTILYSE,BOEHRINGER ING
CONCERTA,CELLERA FARMA
BOTULIFT,BERGAMO
NAN COMFOR 2,NESTLE
HUMIRA,ABBVIE
LAVITAN,CIMED
BEPANTOL DERMA,BAYER CC
NABOTA ESTETICA,MOKSHA8
DURATESTON,ASPEN PHARMA
YERVOY,BRISTOL M. SQUIBB
CLAVULIN BD,GSK
COMBODART,GSK
XEOMIN,MERZ
BOTOX,ALLERGAN
VYNDAQEL,PFIZER
AEROLIN,GSK
GARDASIL 9,MERCK SHARP DOHME
NEUTROFER,EMS PHARMA
SALONPAS,HISAMITSU
PHESGO,ROCHE
TAMISA,EUROFARMA
DEPAKENE,ABBOTT EPD
OFEV,BOEHRINGER ING
NESTOGENO 2,NESTLE
FOTOPROTETOR ISDIN,ISDIN
CETOPROFENO MG,MEDLEY
LACRIFILM,UNIAO QUIMICA F N
ULTRA COREGA,HALEON
CLENIL HFA,CHIESI FARMACEUTIC
REPOFLOR,LEGRAND
DUTAM,ADIUM
NAN COMFOR 3,NESTLE
SERETIDE,GSK
PRIORIX TETRA,GSK
SPIOLTO,BOEHRINGER ING
BEPANTOL BABY,BAYER CC
VALDA,EUROFARMA
RINVOQ,ABBVIE
ATENTAH,APSEN
EPOCLER NF,HYPERA CH
DYSPORT,BEAUFOR IPSEN LTDA
TAFINLAR,NOVARTIS
DONAREN RETARD,APSEN
AMOXI+CLAVU.POT.MG,SANDOZ
ANORO ELLIPTA,GSK
IBRANCE,PFIZER
UTROGESTAN,BESINS HEALTHCARE
NORIPURUM,BLANVER
IMUNOGLOBULIN,BLAU FARMACEUTICA
DERCOS,VICHY
BRASART HCT,EMS PHARMA
NESINA,HYPERA AQ T
IMMUNINE,TAKEDA PHARMA
HYABAK,UNIAO QUIMICA F N
NEO-DECAPEPTYL,ACHE
ATAK CLAV,EUROFARMA
QLAIRA,BIOLAB-SANUS FARMA
RINOSORO,MANTECORP FARMASA
PREDSIM,MANTECORP FARMASA
OMNITROPE,SANDOZ
CANABIDIOL,PRATI DONADUZZI
FLANCOX,APSEN
REMSIMA,CELLTRION
NUBEQA,BAYER PHARMA
ATORVASTATINA MG,EMS PHARMA
LEVOTIROXINA SO.MG,MERCK
AMOXI+CLAVU.POT.MG,RANBAXY
EXELON PATCH,KNIGHTTX
AERODINI,TEUTO BRASILEIRO
FLORATIL,FQM GRUPO
VONAU,BIOLAB-SANUS FARMA
MECOBE,MYRALIS
ENTEROGERMINA,SANOFI CHC
ELIQUIS,PFIZER
NESTONUTRI,NESTLE
HYQVIA,TAKEDA PHARMA
SPRAVATO,JANSSEN CILAG
BENICARANLO,DAIICHI SANKYO
MAVENCLAD,MERCK
SOMALGIN CARDIO,EMS PHARMA
DIOSMIN,ACHE
KYPROLIS,AMGEN
LANTUS,SANOFI
XARELTO,MEGALABS
ANNITA,FQM GRUPO
SOL FIS.CLOR.SODIO,BRAUN
TRESIBA,NOVO NORDISK
ELIGARD,ADIUM
TYLENOL SINUS,KENVUE
ENDOBULIN KIOVIG,TAKEDA PHARMA
ANSITEC,LIBBS
SYNTHROID,ABBOTT EPD
ALECENSA,ROCHE
ENTEROGERMINA PLUS,SANOFI CHC
ROTARIX,GSK
DAFLON 1000,SERVIER DO BRASIL
LISTERINE ANTISEPT,KENVUE
NESINA PIO,HYPERA AQ T
FLAVONID,NEO QUIMICA
GLICLAZIDA MG,EMS PHARMA
KOIDE D,EUROFARMA
NIDHI,SUN PHARMA
NESTOGENO 1,NESTLE
K-MED,CIMED
DIPIRONA SODICA MG,EMS PHARMA
CONCOR,MERCK
NOVANLO,BIOLAB-SANUS FARMA
NEUTROGENA,KENVUE
IMPLANON NXT,ORGANON
EPISOL,MANTECORP FARMASA
CATARINENSE NUTRIC,CATARINENSE PHARMA
VIT NEO QUIMICA,NEO QUIMICA
SELENE,EUROFARMA
CICLO 21,UNIAO QUIMICA F N
RAPAMUNE,PFIZER
SENSODYNE,HALEON
EFFACLAR,LA ROCHE POSAY
CLENIL A,CHIESI FARMACEUTIC
VENLIFT OD,TORRENT
TYLENOL,KENVUE
TASIGNA,NOVARTIS
ADVIL,HALEON
BUSCOPAN,HYPERA AQ
SORIMAX,FARMAX DIV.COSM.
DIPRIVAN,ASPEN PHARMA
ZINPASS EZE,SANOFI
PLENANCE EZE,LIBBS
BAVENCIO,MERCK
LOSARTAN POTAS.MG,NEO QUIMICA
SYSTANE UL,ALCON
SEAKALM,NATULAB
PULMOZYME,ROCHE
G-TECH FREE1,ACCUMED PROD M HOS
TRODELVY,GILEAD
XULTOPHY,NOVO NORDISK
CITONEURIN 5000,P&G HEALTHCARE
DIAMICRON MR,SERVIER DO BRASIL
RIVOTRIL,BIOPAS
PROSTOKOS,HEBRON/QUEZALON
HENETIX,GUERBET
DIPIRONA SO.INJ MG,TEUTO BRASILEIRO
BASAGLAR,LILLY
ROSUVASTATI CAL MG,ALTHAIA S/A
ERBITUX,MERCK
HUMALOG,LILLY
NIST+OXID.ZINCO MG,NEO QUIMICA
SUPRAHYAL ONE,ADIUM
DORALGINA,NEO QUIMICA
NOVOLIN R,NOVO NORDISK
HIPOGLOS NF,KENVUE
EXFORGE HCT,FQM GRUPO
TREZOR,ACHE
CORUS,ACHE
IUMI,LIBBS
TAMARINE,HYPERA CH
PROCTYL,TAKEDA PHARMA
LEXAPRO,LUNDBECK
HARMONYCA,ALLERGAN ESTETICA
OLMES ME+HIDROC MG,EUROFARMA
DIPIRONA SODICA MG,NEO QUIMICA
REVOC,ABBOTT EPD
PRESSAT,BIOLAB-SANUS FARMA
ACTINE,DARROW
ACCU-CHEK GUIDE,ROCHE
DERMACYD,EMS PHARMA
DAFORIN,EMS PHARMA
ALGINAC,P&G HEALTHCARE
CEFALEXINA MG,TEUTO BRASILEIRO
FORTEO,LILLY
CICATRICURE,GENOMMA LAB
ENGOV,HYPERA CH
NAPRIX,LIBBS
FRESUBIN HP ENERGY,FRESENIUS KABI
SOMATULINE AUTOGEL,BEAUFOR IPSEN LTDA
EVENITY,AMGEN
DEXFER,EUROFARMA
PATZ SL,EMS PHARMA
STANGLIT,LIBBS
FERINJECT,BLANVER
LENANGIO,DR. REDDYS
DIOVAN,FQM GRUPO
RESFENOL,HERTZ
GINO-CANESTEN,BAYER CC
GALVUS MET,FQM GRUPO
VAXNEUVANCE,MERCK SHARP DOHME
PERGOVERIS,MERCK
CEREZYME,GENZYME
DEPOSTERON,EMS PHARMA
NARIDRIN,EMS PHARMA
EFEXOR XR,VIATRIS
AMOXI+CLAVU.POT.MG,EUROFARMA
ASPIRINA PREVENT,MEGALABS
DIOVAN HCT,FQM GRUPO
ZOLOFT,VIATRIS
CONTRAVE,MERCK
APRESOLINA,UNIAO QUIMICA F N
TORAGESIC,EMS PHARMA
PONDERA XR,EUROFARMA
SOL RINGER LACTATO,FRESENIUS KABI
MINESOL,KENVUE
DUOMO HP,EUROFARMA
HISTAMIN,NEO QUIMICA
FARMARIN CPHD,FARMARIN I CO LTDA
VENAFLON,TEUTO BRASILEIRO
SONRISAL,HALEON
INILOK,APSEN
TECVAYLI,JANSSEN CILAG
DONAREN,APSEN
BENLYSTA,GSK
BENICAR HCT,DAIICHI SANKYO
ALIVIUM,MANTECORP FARMASA
CLORETO DE SODIO,FARMACE
GANVIRAX,BLAU FARMACEUTICA
DAPAGLIFLOZINA MG,MEDLEY
CLOR NARATRIPTA MG,NOVA QUIMICA
SPIRIVA RESPIMAT,BOEHRINGER ING
RECONTER,LIBBS
SANY D,ACHE
ENSURE,ABBOTT
ACETILCISTEINA MG,EMS PHARMA
JUNEVE,TAKEDA PHARMA
MENJUGATE,GSK
MONURIL,ZAMBON
HELIODERM,HERTZ
SUPRAHYAL DUO,ADIUM
FABRAZYME,GENZYME
NEULASTIM,AMGEN
TADALAFILA MG,EMS PHARMA
ARISTAB,ACHE
BELOTERO LIDO,MERZ
EXODUS,ACHE
KYLEENA,BAYER PHARMA
NESINA MET,HYPERA AQ T
FAULDLEUCO,LIBBS
REBLOZYL,BRISTOL M. SQUIBB
ESOGASTRO IBP,EMS PHARMA
ARTROLIVE,ACHE
BUSCOFEM,HYPERA AQ
KESIMPTA,NOVARTIS
ZINNAT,SANDOZ
PADCEV,ADIUM
NIMENRIX,PFIZER
NASONEX,SUPERA RX
SUMAXPRO,LIBBS
PREVENAR 20,PFIZER
CICAPLAST B5,LA ROCHE POSAY
PERIOGARD,COLGATE
PANTOPRAZOL MG,MEDLEY
APTAMIL PROFUTUR 2,DANONE BABY NUTRIT
VICK XAROPE 44E,P&G HEALTHCARE
RITALINA,NOVARTIS
PRYSMA,EUROFARMA
APTAMIL PROFUTUR 1,DANONE BABY NUTRIT
RITALINA LA,NOVARTIS
RYBREVANT,JANSSEN CILAG
SOL RINGER LAC.SOD,BAXTER
TRIPLIXAM,SERVIER DO BRASIL
XELJANZ,PFIZER
MEKINIST,NOVARTIS
ROSUCOR,TORRENT
CORISTINA D PRO,HYPERA CH
ZETRON XL,LIBBS
OLUMIANT,LILLY
ABEVMY,BIOCON BIOLOGICS
RISPERIDON,SUPERA RX
DOXOPEG,ADIUM
SLINDA,EXELTIS
EVOTAXEL,FARMARIN I CO LTDA
DEPAKOTE ER,ABBOTT EPD
BENICAR,DAIICHI SANKYO
HEPTRIS,VIATRIS
OPTIVE,ALLERGAN
SORO FISIOLOGICO,EQUIPLEX
TRELEGY,GSK
CUROSURF,CHIESI FARMACEUTIC
CREON,ABBOTT EPD
PYRIDIUM,ADIUM
BUP XL,EUROFARMA
KALOBA,SCHWABE HERBARIUM
REXULTI,LUNDBECK
SUC METOPROLOL MG,MEDLEY
CYRAMZA,LILLY
CENTRUM,HALEON
INVEGA SUSTENNA,JANSSEN CILAG
LECTRUM,SANDOZ
SMOFKABIVEN,FRESENIUS KABI
CRESTOR,ASTRAZENECA BRASIL
LONSURF,SERVIER DO BRASIL
JANUMET,MERCK SHARP DOHME
G-TECH FREE LITE,ACCUMED PROD M HOS
KOSELUGO,ASTRAZENECA BRASIL
ZEDORA,LIBBS
FUM QUETIAPINA MG,EUROFARMA
ASSERT,EUROFARMA
SINVASTATINA MG,SANDOZ
DIOVAN AMLO FIX,FQM GRUPO
VICK PYRENA,P&G HEALTHCARE
SULFADIAZ.PRATA MG,NATIVITA IND COMER
EPISOL COLOR NF,MANTECORP FARMASA
ESPIRONOLACTONA MG,EMS PHARMA
DIPROSPAN,MANTECORP FARMASA
ADDERA,MANTECORP FARMASA
ASTRO,EUROFARMA
VIVAXXIA,LIBBS
RIOHEX,RIOQUIMICA
SYMBICORT SPRAY,FQM GRUPO
CLOR.SERTRALINA MG,EUROFARMA
NICORETTE,KENVUE
DIGEPLUS NF,ACHE
NAPROXENO SOD MG,NEO QUIMICA
DESVE,EUROFARMA
CISTEIL,GEOLAB
MAGNESIA BISURADA,ASPEN PHARMA
CECLOR,EMS PHARMA
GRANADO BEBE,GRANADO
APTANUTRI PROFUT 3,DANONE BABY NUTRIT
CALDE MDK,MARJAN
AMMY,MANTECORP FARMASA
NOREGYNA,CIFARMA
NEEDS,RAIA DROGASIL
MYOZYME,GENZYME
NANLAC SUPREME,NESTLE
NALDECON PACK,RECKITT BENCKISER
CARMED,CIMED
VURTUOSO,LUNDBECK
NOVAMOX,ACHE
ETNA,GROSS
ROSUVASTATI CAL MG,EMS PHARMA
SUCRAFILM,EMS PHARMA
HERZUMA,BIOMM
ILARIS,NOVARTIS
CLORETO DE SODIO,FARMARIN I CO LTDA
LORATAMED,CIMED
-,-
CEFALIV,ACHE
HIRUDOID,DAIICHI SANKYO
WAYLIVRA,PTC FARMACEUT BRA
SINVASTATINA MG,CIMED
AVSOLA,AMGEN
IBUPROFENO 600 MG,PRATI DONADUZZI
NAN SUPREME 1,NESTLE
VITAMINA D3,ALTHAIA S/A
INFRALAX,EMS PHARMA
PANTOGAR,BIOLAB-SANUS FARMA
NOVORAPID,NOVO NORDISK
DERMAFEME,CIMED
CLO,BRACE PHARMA
QUET XR,EUROFARMA
LOSARTAN POTAS.MG,PRATI DONADUZZI
20 BI,EUROFARMA
CIFLOGEX,CIMED
NAN SUPREME 2,NESTLE
CARBOLITIUM CR,EUROFARMA
TRIMBOW,CHIESI FARMACEUTIC
VENZER,LIBBS
NORDITROPIN,NOVO NORDISK
ALEKTOS,HYPERA AQ T
DIANE 35,MEGALABS
NEBACETIN,HYPERA AQ T
FERROPURUM,BLAU FARMACEUTICA
TARGIFOR C,SANOFI CHC
BETATRINTA,EUROFARMA
ESC,EUROFARMA
COLIDIS,ACHE
VASTAREL CAPS LP,SERVIER DO BRASIL
CONCARDIO,EMS PHARMA
BICERTO IV,EUROFARMA
GLICOSE,FRESENIUS KABI
AMOXICILINA MG,CIMED
TIO NACHO,GENOMMA LAB
ADDERA CAL,MANTECORP FARMASA
LAMITOR CD,TORRENT
LEVOID,ACHE
AMOXI+CLAVU.POT.MG,LEGRAND
TRAYENTA,BOEHRINGER ING
FLEBOGAMMA,GRIFOLS BRASIL LTD
ABRYSVO,PFIZER
CEFALEXINA MG,UNIAO QUIMICA F N
NOEX,EUROFARMA
BUDESONIDA MG,EMS PHARMA
MULTIGRIP,EMS PHARMA
NUVYOR,EUROFARMA
LISADOR DIP,MANTECORP FARMASA
ICLUSIG,PINT FARMA BRASIL
LENVIMA,KNIGHTTX
VOTRIENT,NOVARTIS
CLEARBLUE,P&G HEALTHCARE
FLORAX SM,HEBRON/QUEZALON
INLYTA,PFIZER
ZEJULA,GSK
VENZER HCT,LIBBS
LORBRENA,PFIZER
TRILEPTAL,NOVARTIS
BLINCYTO,AMGEN
UND TESTOSTERON MG,EUROFARMA
SPRYCEL,BRISTOL M. SQUIBB
WELIREG,MERCK SHARP DOHME
OAZ,EUROFARMA
FEMINIS NF,EUROFARMA
CITONEURIN,P&G HEALTHCARE
AZELAN,LEO PHARMA
AVODART,GSK
PONDERA,EUROFARMA
COBAVITAL,ABBOTT EPD
SUC METOPROLOL MG,NEO QUIMICA
BIO C,UNIAO QUIMICA F N
TANDRILAX,ACHE
DUAL,ACHE
CERAZETTE,ORGANON
TEGSEDI,PTC FARMACEUT BRA
DRAMIN CAPSGEL,HYPERA AQ T
ALTA D,EUROFARMA
SUGANON,EUROFARMA
SIMPONI IV,JANSSEN CILAG
UNINALTREX,UNIAO QUIMICA F N
MICROVLAR,UNIAO QUIMICA F N
LAVITAN MAIS HAIR,CIMED
DOSS,BIOLAB-SANUS FARMA
NAPRIX A,LIBBS
CONDROFLEX,ADIUM
METILDOPA MG,EMS PHARMA
INSIT,APSEN
VECTIBIX,AMGEN
CLOR.DULOXETINA MG,EMS PHARMA
COGLIVE,LIBBS
GAZYVA,ROCHE
MUVINLAX,LIBBS
MALEA ENALAPRIL MG,CIMED
ANDROGEL,BESINS HEALTHCARE
VERSA,EUROFARMA
LOSARTAN POTAS.MG,EMS PHARMA
COLIRIO MOURA BRAS,SANOFI CHC
VAC ANTI RABICA,SANOFI PASTEUR
MENOPUR,FERRING
CICAPLAST B5+,LA ROCHE POSAY
ROSUVASTATI CAL MG,SANDOZ
PREGABALINA MG,MEDLEY
LYBERDIA,EMS PHARMA
DIMORF,CRISTALIA
DIPIRONA SODICA MG,MEDLEY
CONTRACEP,EMS PHARMA
BELEODAQ,PINT FARMA BRASIL
OESTROGEL,BESINS HEALTHCARE
CEFTRIAXONA DIS.MG,BLAU FARMACEUTICA
VAC POLI 1 2 E3 IN,SANOFI PASTEUR
YESCARTA,GILEAD
MEROPENEM MG,EUROFARMA
PRISTIQ,PFIZER
LABIRIN,APSEN
CLO VENLAFAXINA MG,MEDLEY
PRECISIO XCEED PRO,ABBOTT
JANUVIA,MERCK SHARP DOHME
MELAGRIAO,CATARINENSE PHARMA
AZITROMICINA MG,PRATI DONADUZZI
SEKI,ZAMBON
MYCAMINE,SANDOZ
PROVIVE,UNIAO QUIMICA F N
QUETROS,ACHE
PANHEMATIN,RECORDATI RARE DIS
RESTIVA,MUNDIPHARMA
DORFLEX MAX,SANOFI CHC
BEPEBEN,TEUTO BRASILEIRO
MATERNA,NESTLE
PULMICORT,FQM GRUPO
ETIRA,ACHE
GLICLAZIDA MG,RANBAXY
CODEIN,CRISTALIA
OLMESARTANA MED MG,EUROFARMA
DELLER,ACHE
PRESS PLUS,BIOLAB-SANUS FARMA
HOLMES H,EUROFARMA
DRUSOLOL,UNIAO QUIMICA F N
HAEMOCOMPLETTAN-P,CSL BEHRING
FORFIG,EUROFARMA
NATIFA PRO,LIBBS
IMOSEC,KENVUE
SUCC.DESVENLAFA MG,EUROFARMA
BENALET,KENVUE
AC TRANEXAMICO MG,EMS PHARMA
GEROVITAL,EMS PHARMA
RIXIMYO,SANDOZ
PLENANCE,LIBBS
NASOAR,MYRALIS
CYSTEX,EMS PHARMA
MABTHERA SC,ROCHE
SUC METOPROLOL MG,CIMED
MICOF.MOFETILA MG,EMS PHARMA
OTOCIRIAX,FQM GRUPO
GLARGILIN,BIOMM
SOL RINGER LACTATO,HALEXISTAR
PENTASA,FERRING
KEPPRA,UCB BIOPHARMA
BIOTONICO FONTOURA,HYPERA CH
LIDOGEL,NEO QUIMICA
DECADRON,ACHE
PRIVYMTRA,MERCK SHARP DOHME
ABLOK PLUS,BIOLAB-SANUS FARMA
ESTOMAZIL,HYPERA CH
BRUKINSA,BEIGENE
ELANI CICLO,LIBBS
AMOXICILINA MG,EMS PHARMA
EPKINLY,ABBVIE
SALLVE,SALLVE
APTAMIL AR,DANONE BABY NUTRIT
LISADOR,MANTECORP FARMASA
VICK INHALADOR,P&G HEALTHCARE
IFOSFAMIDA MG,EUROFARMA
SIMETICONA MG,MEDLEY
GLICLAZIDA MG,PHARLAB
RELVAR ELLIPTA,GSK
EUCERIN ANTI-PIGM.,BEIERSDORF
XANTINON NF,UNIAO QUIMICA F N
ESIO,EUROFARMA
CEFALEXINA MG,EMS PHARMA
AMOXICILINA MG,PRATI DONADUZZI
ARPADOL,APSEN
CRISCY REFIL CANET,CRISTALIA
BRASART BCC,EMS PHARMA
INFLUVAC TETRA,ABBOTT EPD
LEMTRADA,GENZYME
LEUCOGEN,ACHE
POSTEC,APSEN
CENTRUM GENDER SEL,HALEON
ELIFORE,PFIZER
LIVALO,BIOLAB-SANUS FARMA
SORINE,ACHE
XGEVA,AMGEN
LATUDA,DAIICHI SANKYO
SONRIDOR CAF,HALEON
ZOLADEX,ASTRAZENECA BRASIL
VOLARE,ACHE
PREBICTAL,ADIUM
LEITE MAG.PHILLIPS,ASPEN PHARMA
FLOGORAL,ACHE
VESOMNI,ASTELLAS
ADEFORTE,GROSS
MAGNEN B6,MARJAN
PREVENAR 13,PFIZER
RESTYLANE LYFT,GALDERMA
UNIPRAZOL,UNIAO QUIMICA F N
DYMISTA,MYRALIS
FLEBON,FQM GRUPO
BRONCHO VAXOM,CHIESI FARMACEUTIC
REUQUINOL,APSEN
PACO,EUROFARMA
APEVITIN BC,EMS PHARMA
BEYFORTUS,SANOFI
ARTRINID,UNIAO QUIMICA F N
PROSSO D+KM,EUROFARMA
PANT,ACHE
ENXAK OTC,CAZI
SIGMATRIOL,BRACE PHARMA
FIXODENT,P&G CC
ZERO-CAL,HYPERA CH
DIVALCON ER,ABBOTT EPD
LIPURO,BRAUN
BOTULIM,BLAU FARMACEUTICA
HYTOS PLUS,UNIAO QUIMICA F N
SUC METOPROLOL MG,BIOLAB-SANUS FARMA
OGESTAN GOLD,BESINS HEALTHCARE
PRADAXA,BOEHRINGER ING
JEMPERLI,GSK
VOFLUR,UNIAO QUIMICA F N
MARESIS,FQM GRUPO
PROCTAN,GENOMMA LAB
CARBAMAZEPINA MG,TEUTO BRASILEIRO
DIM LISDEXANFET MG,EUROFARMA
ADEMPAS,BAYER PHARMA
BIO-MANG ETANERCEP,FUNDA OSWALDO CRUZ
SINOT CLAV,EUROFARMA
PEG-LAX,MYRALIS
HEXOMEDINE,HYPERA S.A
RETEMIC,APSEN
RUKOBIA,GSK
ERIVEDGE,ROCHE
CETOPROFENO MG,EUROFARMA
MICARDIS HCT,BOEHRINGER ING
SUAVICID,LEGRAND
NEXAVAR,BAYER PHARMA
SOL CLORETO SODIO,EQUIPLEX
UREADIN,ISDIN
WELLBUTRIN XL,GSK
ELANI 28,LIBBS
OMEGAFOR PLUS,VITAFOR
TIORFAN,BAGO
TROK-N,EUROFARMA
ORLISTATE MG,EMS PHARMA
OX ESCITALOPRAM MG,EUROFARMA
SOL FISIOLOGICA,EUROFARMA
FLIXOTIDE,GSK
PAMELOR,CELLERA FARMA
LACTO PURGA NF,HYPERA CH
TEFLAN,UNIAO QUIMICA F N
EGURINEL,ADIUM
NEOLEFRIN,NEO QUIMICA
FLANAX,BAYER CC
ESOMEPRAZOL MAG MG,EMS PHARMA
DORIL ENXAQUECA,HYPERA CH
PROMESTRIENO MG,EUROFARMA
HEMIFUM BISOPRO MG,EMS PHARMA
CLOR.BUPROPIONA MG,EUROFARMA
BILASTINA MG,EUROFARMA
DEPO-PROVERA,PFIZER
TANDUO,APSEN
VAGIFEM,BESINS HEALTHCARE
ULTOMIRIS,ASTRAZENECA BRASIL
AGUA PARA INJECAO,HALEXISTAR
ACERTIL,SERVIER DO BRASIL
NEOCOPAN COMPO U.Q,UNIAO QUIMICA F N
ROACUTAN,FQM GRUPO
SUMAX,LIBBS
BRASART,EMS PHARMA
COMPLEXO A P 46,MEGALABS
XENPOZYME,SANOFI
